dataset,algo,k,silhouette,calinski_harabasz,davies_bouldin,inertia,seconds_mean,seconds_std,repeats,silhouette_norm,calinski_harabasz_norm,davies_bouldin_norm,composite
full,agglo-ward,3,0.20963225194453,193.64700630902544,1.7776362090982651,,0.020091139990836383,0.0017312408954950065,5,0.964031816884713,0.9170490264284178,0.6836263284082654,0.8549023905737987
full,agglo-ward,4,0.1762937510467116,188.0739907015411,1.7283760058526274,,0.01705579999834299,0.0020906375932382864,5,0.560107908222101,0.8726980440112915,0.7393137200455396,0.724039890759644
full,agglo-ward,5,0.15857008435147604,172.44066075746113,1.7018129977003595,,0.015067100059241056,0.001912454919233041,5,0.34537081643398826,0.7482854117301476,0.769342516935866,0.6209995817000006
full,agglo-ward,6,0.18125288057923725,163.73495475926492,1.7267856746352652,,0.01460768012329936,0.00109630873860773,5,0.6201919231117156,0.6790039596674358,0.7411115485460154,0.6801024771083889
full,agglo-ward,7,0.17318711785675955,149.46752110688388,1.7646753294547872,,0.016093760076910258,0.003004567060430463,5,0.522468440727372,0.5654613565919167,0.6982782691863183,0.5954026888352023
full,agglo-ward,8,0.17762833789143073,140.1812900370815,1.7727505360912246,,0.019448099937289954,0.0015743932293388436,5,0.5762775475355449,0.4915599897367666,0.6891494559682155,0.5856623310801757
full,agglo-ward,9,0.18802559043647643,133.69318550736912,1.8671631584189454,,0.01908550029620528,0.004797778126195793,5,0.7022489851901388,0.4399265779208532,0.5824184169416675,0.5748646600175532
full,agglo-ward,10,0.17699195188962,128.1153290269524,1.8414562000976695,,0.01906795995309949,0.0017553875264280385,5,0.5685671972094334,0.39553707103413466,0.6114794715358087,0.5251945799264589
full,agglo-average,2,0.1991251345424621,190.52575991711998,1.8968162230693637,,0.01932491986081004,0.0027892172310829597,5,0.8367292743130422,0.8922096300231733,0.5488963907291693,0.7592784316884617
full,agglo-average,3,0.20903729018368306,192.76400427752873,1.7801659886032732,,0.0159353400580585,0.0022259310979833003,5,0.9568233559919254,0.9100219498272677,0.6807664778033289,0.8492039278741741
full,agglo-average,4,0.21260094302561056,157.13799469727562,1.763938569193909,,0.015784799959510563,0.003450263470822155,5,1.0,0.6265042574733765,0.6991111576944253,0.7752051383892673
full,agglo-average,5,0.17573661201569962,119.00518425622381,1.6556429502246353,,0.01508140005171299,0.0019794754074642256,5,0.5533577014337212,0.32303702814865565,0.8215365670267958,0.5659770988697242
full,agglo-average,6,0.15511474111425885,96.70299393213678,1.5976572689381179,,0.013853820040822029,0.001047440030363217,5,0.30350643415640893,0.14555249901892667,0.887087886964608,0.44538227337998126
full,agglo-average,7,0.14855987915382093,91.14057315713725,1.6077482605668798,,0.0167060200124979,0.0022908399285282615,5,0.2240887821174352,0.10128583203573086,0.8756802807061201,0.4003516316197621
full,agglo-average,8,0.13957424154564818,78.4132897467433,1.4977769643756957,,0.015125060081481933,0.001626419524467209,5,0.1152202437376423,0.0,1.0,0.3717400812458808
full,agglo-average,9,0.16865157296797395,96.50352145954454,1.540195782948007,,0.01732797995209694,0.002020244536973161,5,0.4675165091750778,0.1439650640021006,0.9520466176144743,0.5211760635972176
full,agglo-average,10,0.170071442502019,89.29439278068489,1.5317524857310143,,0.023579439893364907,0.0032950994908246076,5,0.4847194198200483,0.08659362243471681,0.961591547757941,0.510968196670902
full,agglo-complete,2,0.1324613755036048,177.48306200302102,2.154563878529333,,0.022002820018678905,0.0017621673617620685,5,0.02904190409658973,0.7884136770595302,0.25751930156826364,0.3583249609081278
full,agglo-complete,3,0.16466767530325943,187.18902283624925,2.0580842372982318,,0.01757856011390686,0.001708692471808711,5,0.41924824656256654,0.8656553229787914,0.36658705225270316,0.5504968739313537
full,agglo-complete,4,0.1399967344332411,137.02988138494973,2.3823614600277696,,0.017245639860630036,0.0026206962315147696,5,0.12033909953328037,0.4664805570626192,0.0,0.1956065521986332
full,agglo-complete,5,0.15172211166952773,142.5984374929533,2.000755838492417,,0.015647520124912263,0.001217937330999602,5,0.26240188209032206,0.5107960500433271,0.4313953312668575,0.40153108780016883
full,agglo-complete,6,0.16338369100707617,131.82373504955459,2.057643895584768,,0.015626119822263716,0.001725650739086828,5,0.40369169957908496,0.42504918115331614,0.3670848472238205,0.3986085759854072
full,agglo-complete,7,0.15741716424424892,117.21061049457404,2.0944080304067954,,0.012860359996557236,0.0001623754465494636,5,0.33140222205974723,0.30875551254653216,0.325523939246424,0.32189389128423446
