algo,k,silhouette,calinski_harabasz,davies_bouldin,inertia,seconds_mean,seconds_std,repeats,dataset,k_or_q,eps,min_samples,clusters,noise,noise_pct,silhouette_norm,calinski_harabasz_norm,davies_bouldin_norm,composite
agglo-complete,10.0,0.1307736722391335,95.35417726660981,1.967382366698714,,0.015050559910014272,0.001220972944022798,5,full,,,,,,,0.19545088554014303,0.1348183923108138,0.46912318197839586,0.2664641532764509
dbscan,,0.2126166367745329,152.53390848815155,1.7331983112558562,,0.03712803327168027,0.002628727096343363,3,full,85.0,0.8053568791007465,10.0,4.0,19.0,1.8849206349206349,0.9839394868605454,0.5898641758928462,0.7338622279303922,0.7692219635612613
dbscan,,0.21286918262859347,155.74065995694662,1.7418404489806512,,0.039632599956045546,0.0009920082971201015,3,full,90.0,0.8441519578011143,10.0,4.0,10.0,0.9920634920634921,0.9863725552173417,0.6153840358798925,0.7240925137117133,0.7752830349363159
dbscan,,0.212459144812432,155.9690198335389,1.744449796664326,,0.041781633316228785,0.002930706932149648,3,full,92.0,0.8719009810613482,10.0,4.0,8.0,0.7936507936507936,0.9824221833559487,0.6172013616483545,0.7211427133291605,0.7735887527778212
dbscan,,0.21274777082506233,156.5387270981238,1.745215453435165,,0.04327896664229532,0.0028172941857511208,3,full,94.0,0.895618922476226,10.0,4.0,7.0,0.6944444444444444,0.9852028539034474,0.6217351865385236,0.7202771580604412,0.7757383995008041
dbscan,,0.21296273078225839,157.35760364848426,1.7492359695262183,,0.04374956665560603,0.0027979287153055443,3,full,95.0,0.9073785507489976,10.0,4.0,4.0,0.3968253968253968,0.9872738135387878,0.6282519419264073,0.7157320681218147,0.77708594119567
dbscan,,0.21310760083345065,157.72404569092552,1.7577159496289108,,0.04873856661530832,0.004322894723734549,3,full,96.0,0.9249907963934063,10.0,4.0,1.0,0.0992063492063492,0.9886695154746384,0.6311681484698418,0.7061456689204118,0.7753277776216306
dbscan,,0.15780464620950171,127.28440298291434,1.7270007482272398,,0.04774936668885251,0.0025643534133304798,3,full,97.0,0.9541379236027712,10.0,3.0,1.0,0.0992063492063492,0.45587174125102203,0.3889244237773114,0.7408684133870431,0.5285548594717921
dbscan,,0.19990657287775787,191.76700285751903,1.8866194377868049,,0.04496736661531031,0.0027249554945222906,3,full,98.0,0.9711463960354818,10.0,2.0,0.0,0.0,0.8614886377062921,0.9020876471870032,0.5604235939897715,0.7746666262943555
kmeans,2.0,0.16044289525009142,191.05421577834255,2.1916117295233657,967.2554799600753,0.12779175993055106,0.007337205708185458,5,no_outliers,,,,,,,0.48128906707442515,0.8964151694043722,0.21563765976227278,0.5311139654136899
kmeans,3.0,0.18715714147166052,188.72466113858988,1.9087705851164216,831.7000433494071,0.1487866200041026,0.003944283324502228,5,no_outliers,,,,,,,0.7386585154827013,0.8778761872546266,0.535382292182545,0.7173056649732911
kmeans,4.0,0.18587067893855488,183.15576737468513,1.712921899356957,736.2594154322919,0.15584558001719415,0.011238118045541262,5,no_outliers,,,,,,,0.7262645235355888,0.8335580071522612,0.7567841895955154,0.7722022400944552
kmeans,5.0,0.17018317354931875,172.03605461036486,1.667736729998144,673.7486396961937,0.1690575798973441,0.014777495200075166,5,no_outliers,,,,,,,0.5751285126055968,0.7450654889128442,0.8078648603295244,0.7093529539493219
kmeans,6.0,0.18864383240205881,158.1208309019072,1.6822177231054585,633.8318450462713,0.17893229997716845,0.010093523671397176,5,no_outliers,,,,,,,0.7529815407904963,0.6343258309805441,0.7914944704137032,0.7262672807282479
kmeans,7.0,0.1976129651433092,147.27652895468236,1.7324183031021032,601.3786143602438,0.17900402001105248,0.009403375002123644,5,no_outliers,,,,,,,0.8393916429947813,0.5480250776969048,0.7347440070680404,0.7073869092532421
kmeans,8.0,0.18507196916380664,140.29066314122136,1.7327359726175064,570.4520404065352,0.18850556006655098,0.008289812121148153,5,no_outliers,,,,,,,0.7185696220040126,0.4924303990376303,0.7343848898588143,0.6484616369668191
kmeans,9.0,0.189915938904058,134.45208849857787,1.7367589699389268,543.7798006838647,0.21054717996157707,0.00863388687077947,5,no_outliers,,,,,,,0.7652372243692367,0.4459660537791662,0.7298369949531334,0.6470134243671787
kmeans,10.0,0.19426194206668432,130.83654167437697,1.764370417079651,517.4046545294461,0.21973020005971194,0.014381021208667489,5,no_outliers,,,,,,,0.8071073347017026,0.4171929325603627,0.6986229647768862,0.6409744106796506
agglo-ward,2.0,0.19955667277202702,176.9316052818214,1.8447695681373741,,0.017920280061662196,0.0001929961652893153,5,no_outliers,,,,,,,0.8581176424529341,0.7840250930202386,0.607733794264739,0.7499588432459706
agglo-ward,3.0,0.1785614914913701,183.9656086129466,2.007486075341299,,0.015027560060843825,0.00272826246819949,5,no_outliers,,,,,,,0.6558466077167328,0.8400028580280712,0.4237869717693049,0.6398788125047029
agglo-ward,4.0,0.1866989884922702,182.80673707901545,1.7019926414397382,,0.01707866000942886,0.00151193636349581,5,no_outliers,,,,,,,0.7342445942133419,0.8307803661771487,0.7691394343131637,0.7780547982345514
agglo-ward,5.0,0.16997120658674444,170.79727701682026,1.6797753613455424,,0.015853899996727705,0.002297809214897614,5,no_outliers,,,,,,,0.5730863879734415,0.7352070913881283,0.7942554975082554,0.7008496589566086
agglo-ward,6.0,0.1884920770263733,157.03484670510866,1.6870962174343889,,0.01690721996128559,0.0009478841971629345,5,no_outliers,,,,,,,0.7515195045043428,0.6256833886459477,0.7859794581645522,0.7210607837716143
agglo-ward,7.0,0.1949798849839273,145.16208186872342,1.759330604061771,,0.017434279946610332,0.0013864019214780404,5,no_outliers,,,,,,,0.8140241150243405,0.5311979571330633,0.7043203436509811,0.6831808052694616
agglo-ward,8.0,0.19163846409256208,136.86597295693173,1.7968466662498288,,0.015293540060520172,0.001767011097595235,5,no_outliers,,,,,,,0.7818323157657034,0.46517614661035295,0.6619094011435582,0.6363059545065383
agglo-ward,9.0,0.19829361274762985,131.16188016187598,1.7938749420514917,,0.015443680062890052,0.001109226595426341,5,no_outliers,,,,,,,0.8459491141295268,0.4197820301970723,0.6652688588470832,0.6436666677245607
